,sensitivity,specificity
0,[1],[1]
1,[1 1],[1 1]
2,[1],[1]
3,0.0,"(1.0, 0)"
4,0.0,"(1.0, 0)"
5,[1],[1]
6,-1.0,"(1.0, 0)"
7,0.0,"(1.0, 0)"
8,[0],[1 1]
9,-1.0,"(1.0, 0)"
10,0.0,"(1.0, 0)"
11,-1.0,"(1.0, 0)"
12,[1 0],[1 1]
13,[1],[1 0]
14,0.0,"(1.0, 0)"
15,[1],[1]
16,-1.0,"(1.0, 0)"
17,-1.0,"(1.0, 0)"
18,-1.0,"(1.0, 0)"
19,-1.0,"(1.0, 0)"
20,-1.0,"(1.0, 0)"
21,-1.0,"(1.0, 0)"
22,0.0,[0]
23,-1.0,"(1.0, 0)"
24,-1.0,[0 0 0]
25,0.0,"(1.0, 0)"
26,[1 0],[1]
27,[1],[1]
28,-1.0,"(1.0, 0)"
29,-1.0,"(1.0, 0)"
30,0.0,[0]
31,[0 1 1],[1 1]
32,0.0,"(1.0, 0)"
33,-1.0,[0]
34,-1.0,[0 0]
35,[1 1 1],[1 0]
36,0.0,[0]
37,[1],[1]
38,-1.0,"(1.0, 0)"
39,-1.0,[0]
40,0.0,"(1.0, 0)"
41,[1],[1]
42,[1],[1]
43,[1],[1]
44,0.0,[0]
45,[1],[1]
46,[1],[1]
47,0.0,"(1.0, 0)"
48,-1.0,[0]
49,-1.0,"(1.0, 0)"
50,[1 0],[1]
51,[1],[1]
52,-1.0,"(1.0, 0)"
53,-1.0,"(1.0, 0)"
54,0.0,"(1.0, 0)"
55,-1.0,"(1.0, 0)"
56,[1 0],[1]
57,[1],[1]
58,[1],[0 1]
59,-1.0,[0]
60,[1],[1]
61,[1],[0]
62,[1 0],[0]
63,[1],[1]
64,0.0,[0]
65,[1],[1]
66,0.0,[0 0]
67,[1 0],[1]
68,-1.0,"(1.0, 0)"
69,[1],[1]
70,-1.0,"(1.0, 0)"
71,[1 0],[1]
72,[1],[1 0]
73,[1],[0 1]
74,[1],[1]
75,[1],[1]
76,0.0,[0]
77,[0 0 1],[1 1]
78,-1.0,[0]
79,-1.0,"(1.0, 0)"
80,-1.0,"(1.0, 0)"
81,-1.0,"(1.0, 0)"
82,-1.0,"(1.0, 0)"
83,-1.0,[0]
84,-1.0,"(1.0, 0)"
85,0.0,"(1.0, 0)"
86,-1.0,[0]
87,[1 0],[1 1]
88,[1],[1]
89,-1.0,"(1.0, 0)"
90,[1],[1]
91,[1],[1]
92,-1.0,[0]
93,-1.0,[0 0 0]
94,[0 0 1],[1 1]
95,-1.0,[0]
96,0.0,"(1.0, 0)"
97,-1.0,"(1.0, 0)"
98,[1],[1]
99,[1],[1]
